id,budget,revenue,popularity,vote_average,release_year,director
20546,0,0,0.201869,5.6,1998,Jack Gold
23319,0,0,0.197432,7.1,1998,Marty Callner
13907,0,0,0.073521,6.6,1998,Nick Broomfield
44625,1000000,0,0.135281,5.1,1998,Dan Rosen
14342,0,0,0.133183,5.9,1998,Christopher Guest
24584,0,0,0.118303,6.8,1998,Simon Shore
26618,0,0,0.117323,6.1,1998,David Dobkin
14662,5000000,0,0.117202,6.1,1998,Tamara Jenkins
25751,0,0,0.116073,3.3,1998,Ethan Wiley
24269,8000000,0,0.109197,6.7,1998,Allan Arkush
32302,0,0,0.108358,4.0,1998,Sean McNamara
17074,0,0,0.099566,7.0,1998,Toshihiko Masuda
36568,0,0,0.098541,5.9,1998,John Roberts
17263,0,0,0.093771,6.0,1998,Rowdy Herrington
56195,0,0,0.088122,6.4,1998,Alan Metter
31622,0,0,0.083297,5.2,1998,Franc Roddam
21430,0,0,0.086111,4.8,1998,Abel Ferrara
16129,0,0,0.037178,6.7,1998,Don McKellar
51216,0,0,0.029699,5.0,1998,Vikram Bhatt
10144,40000000,211343479,4.143585,7.1,1989,Ron Clements
89,48000000,474171806,3.536655,7.4,1989,Steven Spielberg
639,16000000,92823546,2.719764,7.1,1989,Rob Reiner
268,35000000,411348924,2.640852,6.9,1989,Tim Burton
165,40000000,332000000,2.566875,7.2,1989,Robert Zemeckis
207,16400000,235860116,2.470407,7.9,1989,Peter Weir
2978,37000000,215394738,2.379507,6.2,1989,Ivan Reitman
709,32000000,156167015,2.176623,5.6,1989,John Glen
5825,27000000,71320000,1.859089,7.2,1989,Jeremiah S. Chechik
9665,18000000,26828365,1.836091,7.1,1989,Edward Zwick
2756,70000000,90000098,1.69108,6.9,1989,James Cameron
942,25000000,227853986,1.510501,6.5,1989,Richard Donner
9618,55000000,63408614,1.362379,5.9,1989,Andrei Konchalovsky
1648,10000000,40485039,1.280429,6.6,1989,Stephen Herek
9494,7500000,296000000,1.274285,5.7,1989,Amy Heckerling
9354,32000000,222724172,1.218498,5.9,1989,Joe Johnston
172,30000000,70200000,1.190512,5.3,1989,William Shatner
10222,1500000,14697005,0.94235,6.2,1989,Mark DiSalle
10160,8000000,22168359,0.918962,5.6,1989,Stephen Hopkins
10134,500000,10166459,0.914399,4.8,1989,Albert Pyun
11974,18000000,36602000,0.89539,6.4,1989,Joe Dante
8913,11500000,57469467,0.836515,6.4,1989,Mary Lambert
10495,0,38956288,0.833524,5.5,1989,John G. Avildsen
11185,18000000,46908987,0.737259,6.3,1989,Arthur Hiller
2604,14000000,161001698,0.724013,6.3,1989,Oliver Stone
2616,15000000,79258538,0.720081,6.6,1989,John Hughes
14372,0,15704614,0.670104,6.0,1989,George P. Cosmatos
1412,1200000,0,0.625627,6.3,1989,Steven Soderbergh
9942,11000000,49797148,0.602613,6.5,1989,David S. Ward
5971,20000000,0,0.580578,5.3,1989,Neil Jordan
8491,6500000,30218387,0.573045,6.2,1989,Ted Kotcheff
1552,0,126297830,0.547789,6.2,1989,Ron Howard
10345,18598420,78247647,0.547658,5.5,1989,Rod Daniel
10142,22500000,18671317,0.544382,6.5,1989,Brian De Palma
249,0,0,0.531317,6.4,1989,Danny DeVito
