id,budget,revenue,popularity,vote_average,release_year,if_novels
2023,100000000,108103450,0.815044,6.3,2004,Not base on novel
1599,22000000,0,0.809063,6.3,2004,Not base on novel
1777,6000000,119114517,0.80542,6.6,2004,Not base on novel
13476,17000000,16980098,0.804481,5.3,2004,Not base on novel
12153,37000000,113086475,0.802577,6.4,2004,Not base on novel
205,17500000,38000000,0.787185,7.2,2004,Not base on novel
10367,2800000,0,0.781151,5.4,2004,Not base on novel
11358,56000000,57223890,0.779837,6.0,2004,Not base on novel
21385,0,0,0.763058,6.3,2004,Not base on novel
83,130000,54667954,0.762134,5.3,2004,Not base on novel
2841,47000000,0,0.756105,6.9,2004,Not base on novel
3989,32000000,50907422,0.73712,6.5,2004,Not base on novel
10891,5000000,0,0.730097,5.5,2004,Not base on novel
13378,0,0,0.722796,7.2,2004,Not base on novel
11025,0,0,0.71676,5.4,2004,Not base on novel
5552,24665810,0,0.715262,6.1,2004,Not base on novel
9805,0,0,0.712887,6.3,2004,Not base on novel
9675,16000000,109502303,0.702632,6.6,2004,Not base on novel
10762,19000000,69631118,0.696312,5.2,2004,Not base on novel
9384,60000000,170268750,0.679997,5.5,2004,Not base on novel
16791,0,0,0.679386,5.4,2004,Not base on novel
11132,15000000,29331068,0.678708,5.1,2004,Not base on novel
6947,60000000,256697520,0.677316,6.0,2004,Not base on novel
2122,40000000,26155781,0.674089,5.5,2004,Not base on novel
615,30000000,611899420,0.672946,6.8,2004,Not base on novel
11237,20000000,70992898,0.652366,5.0,2004,Not base on novel
1677,40000000,124731534,0.648721,7.0,2004,Not base on novel
10677,25000000,27685016,0.640232,5.8,2004,Not base on novel
2003,0,0,0.63799,4.8,2004,Not base on novel
10740,20000000,0,0.622281,5.8,2004,Not base on novel
11823,31000000,41512007,0.614248,5.7,2004,Not base on novel
11081,45000000,65470529,0.61184,6.0,2004,Not base on novel
13505,0,0,0.610925,5.5,2004,Not base on novel
36763,0,0,0.605833,5.0,2004,Not base on novel
9833,70000000,154648887,0.589983,6.8,2004,Not base on novel
438,825000,0,0.588087,5.6,2004,Not base on novel
401,2500000,26781723,0.586936,7.1,2004,Not base on novel
8193,400000,46118097,0.577759,6.6,2004,Not base on novel
13969,30000000,0,0.575292,5.2,2004,Not base on novel
11026,80000000,78000586,0.572019,4.6,2004,Not base on novel
11208,30000000,13001257,0.545686,6.6,2004,Not base on novel
421,50000000,34808403,0.530799,7.0,2004,Not base on novel
